Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Aromatic (polao),Kilogram,34--35,Quintal,3700--3700, 03/07/2019
2,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,1850--1850, 03/07/2019
3,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,1800--1800, 03/07/2019
4,Foodgrains,Aman-Local-Coarse,Kilogram,14--15,Quintal,1473--1473, 03/07/2019
5,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1850--1850, 03/07/2019
6,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1750--1750, 03/07/2019
7,Foodgrains,Boro-Fine,Kilogram,20--21,Quintal,1927--1927, 03/07/2019
8,Foodgrains,Boro-Medium,Kilogram,16--17,Quintal,1682--1682, 03/07/2019
9,Foodgrains,Boro Coarse,Kilogram,14--15,Quintal,1444--1444, 03/07/2019
10,Foodgrains,Aman-Fine,Kilogram,48--50,Quintal,4707--4707, 03/07/2019
11,Foodgrains,Aman-Medium,Kilogram,34--37,Quintal,3380--3380, 03/07/2019
12,Foodgrains,Aman-Coarse,Kilogram,28--30,Quintal,2767--2767, 03/07/2019
13,Foodgrains,Aman-Pajam,Kilogram,46--49,Quintal,4550--4550, 03/07/2019
14,Foodgrains,Aus-HYV-Fine,Kilogram,50--60,Quintal,5000--5000, 03/07/2019
15,Foodgrains,Boro-HYV-Fine,Kilogram,45--48,Quintal,4518--4518, 03/07/2019
16,Foodgrains,Boro-Pajam,Kilogram,42--59,Quintal,5700--5700, 03/07/2019
17,Foodgrains,Atap,Kilogram,24--28,Quintal,2500--2500, 03/07/2019
18,Foodgrains,Boro-HYV-Medium,Kilogram,35--38,Quintal,3502--3502, 03/07/2019
19,Foodgrains,Aman-HYV-Coarse,Kilogram,28--30,Quintal,2671--2671, 03/07/2019
20,Foodgrains,Aman-HYV-Fine,Kilogram,47--52,Quintal,4880--4880, 03/07/2019
21,Foodgrains,O. M. S. Coarse,Kilogram,32--35,Quintal,2800--2800, 03/07/2019
