,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-02,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2850.0,2850.0,2850.0
2013-01-03,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-04,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-05,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-06,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-07,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-08,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-09,Others,Iodized Salt (Packed),Kilogram,20.0,32.0,26.0,Quintal,22850.0,22850.0,22850.0
2013-01-10,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-11,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-12,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-13,Others,Iodized Salt (Packed),Kilogram,16.0,30.0,23.0,Quintal,2500.0,2500.0,2500.0
2013-01-14,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-15,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-16,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2867.0,2867.0,2867.0
2013-01-17,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-18,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-19,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-20,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-21,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-22,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-23,Others,Iodized Salt (Packed),Kilogram,19.0,31.0,25.0,Quintal,2814.0,2814.0,2814.0
2013-01-24,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-25,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-26,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-01-27,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-28,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-29,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-01-30,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2825.0,2825.0,2825.0
2013-01-31,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-01,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-02,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-03,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-04,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-05,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-06,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2836.0,2836.0,2836.0
2013-02-07,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-08,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-09,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-10,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-11,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-12,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-13,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2769.0,2769.0,2769.0
2013-02-14,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-15,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-16,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-17,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-18,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-02-19,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2400.0,2400.0,2400.0
2013-02-20,Others,Iodized Salt (Packed),Kilogram,20.0,30.0,25.0,Quintal,2715.0,2715.0,2715.0
2013-02-21,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-22,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-23,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-24,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2400.0,2400.0,2400.0
2013-02-25,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-02-26,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2400.0,2400.0,2400.0
2013-02-27,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2709.0,2709.0,2709.0
2013-02-28,Others,Iodized Salt (Packed),Kilogram,16.0,29.0,22.5,Quintal,2600.0,2600.0,2600.0
2013-03-01,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-02,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-03,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2400.0,2400.0,2400.0
2013-03-04,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,2400.0,2400.0,2400.0
2013-03-05,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-06,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2731.0,2731.0,2731.0
2013-03-07,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,,,
2013-03-08,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-09,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-10,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-11,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-12,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,,,
2013-03-13,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2738.0,2738.0,2738.0
2013-03-14,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-15,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-16,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-17,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-18,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-19,Others,Iodized Salt (Packed),Kilogram,16.0,28.0,22.0,Quintal,,,
2013-03-20,Others,Iodized Salt (Packed),Kilogram,20.0,30.0,25.0,Quintal,2709.0,2709.0,2709.0
2013-03-21,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-22,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-23,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-24,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-25,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-26,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-27,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2790.0,2790.0,2790.0
2013-03-28,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-29,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-30,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-03-31,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-01,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-02,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-03,Others,Iodized Salt (Packed),Kilogram,20.0,31.0,25.5,Quintal,2780.0,2780.0,2780.0
2013-04-04,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-05,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-06,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-07,Others,Iodized Salt (Packed),Kilogram,13.0,28.0,20.5,Quintal,2000.0,2000.0,2000.0
2013-04-08,Others,Iodized Salt (Packed),Kilogram,13.0,28.0,20.5,Quintal,,,
2013-04-09,Others,Iodized Salt (Packed),Kilogram,13.0,28.0,20.5,Quintal,,,
2013-04-10,Others,Iodized Salt (Packed),Kilogram,20.0,30.0,25.0,Quintal,2711.0,2711.0,2711.0
2013-04-11,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-12,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-13,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-14,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-15,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-16,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-17,Others,Iodized Salt (Packed),Kilogram,20.0,30.0,25.0,Quintal,2727.0,2727.0,2727.0
2013-04-18,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-19,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-20,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-21,Others,Iodized Salt (Packed),Kilogram,13.0,28.0,20.5,Quintal,2000.0,2000.0,2000.0
2013-04-22,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2000.0,2000.0,2000.0
2013-04-23,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,,,
2013-04-24,Others,Iodized Salt (Packed),Kilogram,19.0,29.0,24.0,Quintal,2709.0,2709.0,2709.0
2013-04-25,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-04-26,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-27,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-04-28,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-04-29,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-04-30,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-05-01,Others,Iodized Salt (Packed),Kilogram,18.0,29.0,23.5,Quintal,2550.0,2550.0,2550.0
2013-05-02,Others,Iodized Salt (Packed),Kilogram,20.0,29.0,24.5,Quintal,2640.0,2640.0,2640.0
2013-05-03,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-04,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-05,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-05-06,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-05-07,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,2100.0,2100.0,2100.0
2013-05-08,Others,Iodized Salt (Packed),Kilogram,19.0,29.0,24.0,Quintal,2570.0,2570.0,2570.0
2013-05-09,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,,,
2013-05-10,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-11,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-12,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,,,
2013-05-13,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,,,
2013-05-14,Others,Iodized Salt (Packed),Kilogram,15.0,26.0,20.5,Quintal,,,
2013-05-15,Others,Iodized Salt (Packed),Kilogram,20.0,29.0,24.5,Quintal,2527.0,2527.0,2527.0
2013-05-16,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-17,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-18,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-19,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-20,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-21,Others,Iodized Salt (Packed),Kilogram,15.0,28.0,21.5,Quintal,2100.0,2100.0,2100.0
2013-05-22,Others,Iodized Salt (Packed),Kilogram,18.0,28.0,23.0,Quintal,2411.0,2411.0,2411.0
2013-05-23,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-24,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-25,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-26,Others,Iodized Salt (Packed),Kilogram,15.0,28.0,21.5,Quintal,2100.0,2100.0,2100.0
2013-05-27,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-28,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-29,Others,Iodized Salt (Packed),Kilogram,20.0,29.0,24.5,Quintal,2467.0,2467.0,2467.0
2013-05-30,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-05-31,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-01,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-02,Others,Iodized Salt (Packed),Kilogram,20.0,29.0,24.5,Quintal,2200.0,2200.0,2200.0
2013-06-03,Others,Iodized Salt (Packed),Kilogram,22.0,29.0,25.5,Quintal,2400.0,2400.0,2400.0
2013-06-04,Others,Iodized Salt (Packed),Kilogram,22.0,29.0,25.5,Quintal,2400.0,2400.0,2400.0
2013-06-05,Others,Iodized Salt (Packed),Kilogram,19.0,29.0,24.0,Quintal,2298.0,2298.0,2298.0
2013-06-06,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2336.0,2336.0,2336.0
2013-06-07,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-08,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-09,Others,Iodized Salt (Packed),Kilogram,18.0,28.0,23.0,Quintal,2376.0,2376.0,2376.0
2013-06-10,Others,Iodized Salt (Packed),Kilogram,18.0,28.0,23.0,Quintal,2376.0,2376.0,2376.0
2013-06-11,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2520.0,2520.0,2520.0
2013-06-12,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2408.0,2408.0,2408.0
2013-06-13,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2467.0,2467.0,2467.0
2013-06-14,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-15,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-16,Others,Iodized Salt (Packed),Kilogram,18.0,28.0,23.0,Quintal,2429.0,2429.0,2429.0
2013-06-17,Others,Iodized Salt (Packed),Kilogram,19.0,29.0,24.0,Quintal,2520.0,2520.0,2520.0
2013-06-18,Others,Iodized Salt (Packed),Kilogram,19.0,29.0,24.0,Quintal,2520.0,2520.0,2520.0
2013-06-19,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2288.0,2288.0,2288.0
2013-06-20,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2425.0,2425.0,2425.0
2013-06-21,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-22,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-23,Others,Iodized Salt (Packed),Kilogram,18.0,26.0,22.0,Quintal,2540.0,2540.0,2540.0
2013-06-24,Others,Iodized Salt (Packed),Kilogram,18.0,26.0,22.0,Quintal,2380.0,2380.0,2380.0
2013-06-25,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-26,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2347.0,2347.0,2347.0
2013-06-27,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2500.0,2500.0,2500.0
2013-06-28,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-29,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-06-30,Others,Iodized Salt (Packed),Kilogram,18.0,26.0,22.0,Quintal,2380.0,2380.0,2380.0
2013-07-01,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2417.0,2417.0,2417.0
2013-07-02,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2417.0,2417.0,2417.0
2013-07-03,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2355.0,2355.0,2355.0
2013-07-04,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2596.0,2596.0,2596.0
2013-07-05,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-06,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-07,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2498.0,2498.0,2498.0
2013-07-08,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2498.0,2498.0,2498.0
2013-07-09,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2498.0,2498.0,2498.0
2013-07-10,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2457.0,2457.0,2457.0
2013-07-11,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2498.0,2498.0,2498.0
2013-07-12,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-13,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-14,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2503.0,2503.0,2503.0
2013-07-15,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2503.0,2503.0,2503.0
2013-07-16,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2463.0,2463.0,2463.0
2013-07-17,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2462.0,2462.0,2462.0
2013-07-18,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2463.0,2463.0,2463.0
2013-07-19,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-20,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-21,Others,Iodized Salt (Packed),Kilogram,18.0,26.0,22.0,Quintal,2540.0,2540.0,2540.0
2013-07-22,Others,Iodized Salt (Packed),Kilogram,18.0,26.0,22.0,Quintal,2469.0,2469.0,2469.0
2013-07-23,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2431.0,2431.0,2431.0
2013-07-24,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2423.0,2423.0,2423.0
2013-07-25,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2503.0,2503.0,2503.0
2013-07-26,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-27,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-07-28,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2558.0,2558.0,2558.0
2013-07-29,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2509.0,2509.0,2509.0
2013-07-30,Others,Iodized Salt (Packed),Kilogram,17.0,26.0,21.5,Quintal,2553.0,2553.0,2553.0
2013-07-31,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2480.0,2480.0,2480.0
2013-08-01,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2568.0,2568.0,2568.0
2013-08-02,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-03,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-04,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2553.0,2553.0,2553.0
2013-08-05,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2533.0,2533.0,2533.0
2013-08-06,Others,Iodized Salt (Packed),Kilogram,22.0,25.0,23.5,Quintal,2400.0,2400.0,2400.0
2013-08-07,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2457.0,2457.0,2457.0
2013-08-08,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-09,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-10,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-11,Others,Iodized Salt (Packed),Kilogram,17.0,28.0,22.5,Quintal,2453.0,2453.0,2453.0
2013-08-12,Others,Iodized Salt (Packed),Kilogram,17.0,28.0,22.5,Quintal,2481.0,2481.0,2481.0
2013-08-13,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2481.0,2481.0,2481.0
2013-08-14,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2468.0,2468.0,2468.0
2013-08-15,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-16,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-17,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-18,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2533.0,2533.0,2533.0
2013-08-19,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2526.0,2526.0,2526.0
2013-08-20,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2423.0,2423.0,2423.0
2013-08-21,Others,Iodized Salt (Packed),Kilogram,20.0,28.0,24.0,Quintal,2474.0,2474.0,2474.0
2013-08-22,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2475.0,2475.0,2475.0
2013-08-23,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-24,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-25,Others,Iodized Salt (Packed),Kilogram,18.0,27.0,22.5,Quintal,2448.0,2448.0,2448.0
2013-08-26,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2566.0,2566.0,2566.0
2013-08-27,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-08-28,Others,Iodized Salt (Packed),Kilogram,21.0,29.0,25.0,Quintal,2533.0,2533.0,2533.0
2013-08-29,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2472.0,2472.0,2472.0
2013-08-30,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-08-31,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-01,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2475.0,2475.0,2475.0
2013-09-02,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2475.0,2475.0,2475.0
2013-09-03,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-09-04,Others,Iodized Salt (Packed),Kilogram,19.0,28.0,23.5,Quintal,2429.0,2429.0,2429.0
2013-09-05,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2423.0,2423.0,2423.0
2013-09-06,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-07,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-08,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2423.0,2423.0,2423.0
2013-09-09,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2426.0,2426.0,2426.0
2013-09-10,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2454.0,2454.0,2454.0
2013-09-11,Others,Iodized Salt (Packed),Kilogram,20.0,28.0,24.0,Quintal,2431.0,2431.0,2431.0
2013-09-12,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2503.0,2503.0,2503.0
2013-09-13,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-14,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-15,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-09-16,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2423.0,2423.0,2423.0
2013-09-17,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2423.0,2423.0,2423.0
2013-09-18,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2448.0,2448.0,2448.0
2013-09-19,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-09-20,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-21,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-22,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-09-23,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2405.0,2405.0,2405.0
2013-09-24,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2339.0,2339.0,2339.0
2013-09-25,Others,Iodized Salt (Packed),Kilogram,19.0,27.0,23.0,Quintal,2417.0,2417.0,2417.0
2013-09-26,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2459.0,2459.0,2459.0
2013-09-27,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-28,Others,Iodized Salt (Packed),Kilogram,,,,Quintal,,,
2013-09-29,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
2013-09-30,Others,Iodized Salt (Packed),Kilogram,17.0,27.0,22.0,Quintal,2448.0,2448.0,2448.0
