,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-02,Vegetable,Lao (Bottle Gourd),1 piece,23.0,28.0,25.5,100 pieces,2033.0,2033.0,2033.0
2013-01-03,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4600.0,4600.0,4600.0
2013-01-04,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-05,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-06,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4600.0,4600.0,4600.0
2013-01-07,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4600.0,4600.0,4600.0
2013-01-08,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4600.0,4600.0,4600.0
2013-01-09,Vegetable,Lao (Bottle Gourd),1 piece,23.0,28.0,25.5,100 pieces,2114.0,2114.0,2114.0
2013-01-10,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4600.0,4600.0,4600.0
2013-01-11,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-12,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-13,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-14,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-15,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-16,Vegetable,Lao (Bottle Gourd),1 piece,23.0,27.0,25.0,100 pieces,2144.0,2144.0,2144.0
2013-01-17,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-18,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-19,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-20,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-21,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-22,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-01-23,Vegetable,Lao (Bottle Gourd),1 piece,22.0,25.0,23.5,100 pieces,2000.0,2000.0,2000.0
2013-01-24,Vegetable,Lao (Bottle Gourd),1 piece,50.0,60.0,55.0,100 pieces,4800.0,4800.0,4800.0
2013-01-25,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-26,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-01-27,Vegetable,Lao (Bottle Gourd),1 piece,50.0,60.0,55.0,100 pieces,4500.0,4500.0,4500.0
2013-01-28,Vegetable,Lao (Bottle Gourd),1 piece,50.0,60.0,55.0,100 pieces,4500.0,4500.0,4500.0
2013-01-29,Vegetable,Lao (Bottle Gourd),1 piece,50.0,60.0,55.0,100 pieces,4500.0,4500.0,4500.0
2013-01-30,Vegetable,Lao (Bottle Gourd),1 piece,22.0,24.0,23.0,100 pieces,2067.0,2067.0,2067.0
2013-01-31,Vegetable,Lao (Bottle Gourd),1 piece,50.0,60.0,55.0,100 pieces,4500.0,4500.0,4500.0
2013-02-01,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-02,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-03,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-04,Vegetable,Lao (Bottle Gourd),1 piece,40.0,60.0,50.0,100 pieces,5500.0,5500.0,5500.0
2013-02-05,Vegetable,Lao (Bottle Gourd),1 piece,50.0,80.0,65.0,100 pieces,5500.0,5500.0,5500.0
2013-02-06,Vegetable,Lao (Bottle Gourd),1 piece,21.0,26.0,23.5,100 pieces,2223.0,2223.0,2223.0
2013-02-07,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,5000.0,5000.0,5000.0
2013-02-08,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-09,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-10,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4000.0,4000.0,4000.0
2013-02-11,Vegetable,Lao (Bottle Gourd),1 piece,35.0,70.0,52.5,100 pieces,3500.0,3500.0,3500.0
2013-02-12,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-13,Vegetable,Lao (Bottle Gourd),1 piece,20.0,23.0,21.5,100 pieces,2125.0,2125.0,2125.0
2013-02-14,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,3500.0,3500.0,3500.0
2013-02-15,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-16,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-17,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-18,Vegetable,Lao (Bottle Gourd),1 piece,40.0,70.0,55.0,100 pieces,4000.0,4000.0,4000.0
2013-02-19,Vegetable,Lao (Bottle Gourd),1 piece,40.0,70.0,55.0,100 pieces,4000.0,4000.0,4000.0
2013-02-20,Vegetable,Lao (Bottle Gourd),1 piece,23.0,28.0,25.5,100 pieces,2325.0,2325.0,2325.0
2013-02-21,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-22,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-23,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-24,Vegetable,Lao (Bottle Gourd),1 piece,50.0,70.0,60.0,100 pieces,4000.0,4000.0,4000.0
2013-02-25,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-02-26,Vegetable,Lao (Bottle Gourd),1 piece,40.0,60.0,50.0,100 pieces,3600.0,3600.0,3600.0
2013-02-27,Vegetable,Lao (Bottle Gourd),1 piece,21.0,25.0,23.0,100 pieces,2155.0,2155.0,2155.0
2013-02-28,Vegetable,Lao (Bottle Gourd),1 piece,40.0,60.0,50.0,100 pieces,3000.0,3000.0,3000.0
2013-03-01,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-02,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-03,Vegetable,Lao (Bottle Gourd),1 piece,40.0,60.0,50.0,100 pieces,3000.0,3000.0,3000.0
2013-03-04,Vegetable,Lao (Bottle Gourd),1 piece,40.0,60.0,50.0,100 pieces,3400.0,3400.0,3400.0
2013-03-05,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-06,Vegetable,Lao (Bottle Gourd),1 piece,19.0,24.0,21.5,100 pieces,2033.0,2033.0,2033.0
2013-03-07,Vegetable,Lao (Bottle Gourd),1 piece,35.0,60.0,47.5,100 pieces,3000.0,3000.0,3000.0
2013-03-08,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-09,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-10,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-11,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-12,Vegetable,Lao (Bottle Gourd),1 piece,30.0,50.0,40.0,100 pieces,2500.0,2500.0,2500.0
2013-03-13,Vegetable,Lao (Bottle Gourd),1 piece,15.0,19.0,17.0,100 pieces,1592.0,1592.0,1592.0
2013-03-14,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-15,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-16,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-17,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-18,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-19,Vegetable,Lao (Bottle Gourd),1 piece,25.0,50.0,37.5,100 pieces,2500.0,2500.0,2500.0
2013-03-20,Vegetable,Lao (Bottle Gourd),1 piece,15.0,18.0,16.5,100 pieces,1436.0,1436.0,1436.0
2013-03-21,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-22,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-23,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-24,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-25,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-26,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-27,Vegetable,Lao (Bottle Gourd),1 piece,13.0,16.0,14.5,100 pieces,1270.0,1270.0,1270.0
2013-03-28,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-29,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-30,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-03-31,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-01,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-02,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-03,Vegetable,Lao (Bottle Gourd),1 piece,13.0,15.0,14.0,100 pieces,1118.0,1118.0,1118.0
2013-04-04,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-05,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-06,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-07,Vegetable,Lao (Bottle Gourd),1 piece,15.0,30.0,22.5,100 pieces,1800.0,1800.0,1800.0
2013-04-08,Vegetable,Lao (Bottle Gourd),1 piece,15.0,30.0,22.5,100 pieces,1800.0,1800.0,1800.0
2013-04-09,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-10,Vegetable,Lao (Bottle Gourd),1 piece,13.0,16.0,14.5,100 pieces,1230.0,1230.0,1230.0
2013-04-11,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-12,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-13,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-14,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-15,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-16,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-17,Vegetable,Lao (Bottle Gourd),1 piece,11.0,13.0,12.0,100 pieces,956.0,956.0,956.0
2013-04-18,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-19,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-20,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-21,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-22,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-23,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,2500.0,2500.0,2500.0
2013-04-24,Vegetable,Lao (Bottle Gourd),1 piece,11.0,14.0,12.5,100 pieces,1120.0,1120.0,1120.0
2013-04-25,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-26,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-27,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-04-28,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-29,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-04-30,Vegetable,Lao (Bottle Gourd),1 piece,20.0,30.0,25.0,100 pieces,1800.0,1800.0,1800.0
2013-05-01,Vegetable,Lao (Bottle Gourd),1 piece,13.0,15.0,14.0,100 pieces,1150.0,1150.0,1150.0
2013-05-02,Vegetable,Lao (Bottle Gourd),1 piece,13.0,17.0,15.0,100 pieces,1317.0,1317.0,1317.0
2013-05-03,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-04,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-05,Vegetable,Lao (Bottle Gourd),1 piece,20.0,40.0,30.0,100 pieces,2000.0,2000.0,2000.0
2013-05-06,Vegetable,Lao (Bottle Gourd),1 piece,20.0,40.0,30.0,100 pieces,2000.0,2000.0,2000.0
2013-05-07,Vegetable,Lao (Bottle Gourd),1 piece,20.0,40.0,30.0,100 pieces,2000.0,2000.0,2000.0
2013-05-08,Vegetable,Lao (Bottle Gourd),1 piece,13.0,17.0,15.0,100 pieces,1168.0,1168.0,1168.0
2013-05-09,Vegetable,Lao (Bottle Gourd),1 piece,20.0,40.0,30.0,100 pieces,2000.0,2000.0,2000.0
2013-05-10,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-11,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-12,Vegetable,Lao (Bottle Gourd),1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-05-13,Vegetable,Lao (Bottle Gourd),1 piece,24.0,30.0,27.0,100 pieces,2000.0,2000.0,2000.0
2013-05-14,Vegetable,Lao (Bottle Gourd),1 piece,24.0,30.0,27.0,100 pieces,2000.0,2000.0,2000.0
2013-05-15,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1215.0,1215.0,1215.0
2013-05-16,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-17,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-18,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-19,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-20,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-21,Vegetable,Lao (Bottle Gourd),1 piece,25.0,40.0,32.5,100 pieces,2200.0,2200.0,2200.0
2013-05-22,Vegetable,Lao (Bottle Gourd),1 piece,15.0,18.0,16.5,100 pieces,1389.0,1389.0,1389.0
2013-05-23,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-24,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-25,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-26,Vegetable,Lao (Bottle Gourd),1 piece,25.0,35.0,30.0,100 pieces,2200.0,2200.0,2200.0
2013-05-27,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-28,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-29,Vegetable,Lao (Bottle Gourd),1 piece,15.0,18.0,16.5,100 pieces,1350.0,1350.0,1350.0
2013-05-30,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-05-31,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-01,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-02,Vegetable,Lao (Bottle Gourd),1 piece,25.0,35.0,30.0,100 pieces,2500.0,2500.0,2500.0
2013-06-03,Vegetable,Lao (Bottle Gourd),1 piece,18.0,24.0,21.0,100 pieces,2500.0,2500.0,2500.0
2013-06-04,Vegetable,Lao (Bottle Gourd),1 piece,10.0,12.0,11.0,100 pieces,,,
2013-06-05,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1538.0,1538.0,1538.0
2013-06-06,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1250.0,1250.0,1250.0
2013-06-07,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-08,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-09,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1200.0,1200.0,1200.0
2013-06-10,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1200.0,1200.0,1200.0
2013-06-11,Vegetable,Lao (Bottle Gourd),1 piece,18.0,21.0,19.5,100 pieces,1533.0,1533.0,1533.0
2013-06-12,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1392.0,1392.0,1392.0
2013-06-13,Vegetable,Lao (Bottle Gourd),1 piece,19.0,21.0,20.0,100 pieces,1567.0,1567.0,1567.0
2013-06-14,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-15,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-16,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1567.0,1567.0,1567.0
2013-06-17,Vegetable,Lao (Bottle Gourd),1 piece,19.0,21.0,20.0,100 pieces,1567.0,1567.0,1567.0
2013-06-18,Vegetable,Lao (Bottle Gourd),1 piece,19.0,21.0,20.0,100 pieces,1633.0,1633.0,1633.0
2013-06-19,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1311.0,1311.0,1311.0
2013-06-20,Vegetable,Lao (Bottle Gourd),1 piece,19.0,21.0,20.0,100 pieces,1683.0,1683.0,1683.0
2013-06-21,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-22,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-23,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1488.0,1488.0,1488.0
2013-06-24,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1488.0,1488.0,1488.0
2013-06-25,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-26,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1204.0,1204.0,1204.0
2013-06-27,Vegetable,Lao (Bottle Gourd),1 piece,18.0,19.0,18.5,100 pieces,1438.0,1438.0,1438.0
2013-06-28,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-29,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-06-30,Vegetable,Lao (Bottle Gourd),1 piece,19.0,20.0,19.5,100 pieces,1463.0,1463.0,1463.0
2013-07-01,Vegetable,Lao (Bottle Gourd),1 piece,19.0,20.0,19.5,100 pieces,1463.0,1463.0,1463.0
2013-07-02,Vegetable,Lao (Bottle Gourd),1 piece,19.0,20.0,19.5,100 pieces,1463.0,1463.0,1463.0
2013-07-03,Vegetable,Lao (Bottle Gourd),1 piece,14.0,17.0,15.5,100 pieces,1250.0,1250.0,1250.0
2013-07-04,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1363.0,1363.0,1363.0
2013-07-05,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-06,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-07,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1388.0,1388.0,1388.0
2013-07-08,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1388.0,1388.0,1388.0
2013-07-09,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1388.0,1388.0,1388.0
2013-07-10,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1208.0,1208.0,1208.0
2013-07-11,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1400.0,1400.0,1400.0
2013-07-12,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-13,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-14,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1400.0,1400.0,1400.0
2013-07-15,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1400.0,1400.0,1400.0
2013-07-16,Vegetable,Lao (Bottle Gourd),1 piece,16.0,17.0,16.5,100 pieces,1325.0,1325.0,1325.0
2013-07-17,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1340.0,1340.0,1340.0
2013-07-18,Vegetable,Lao (Bottle Gourd),1 piece,16.0,17.0,16.5,100 pieces,1325.0,1325.0,1325.0
2013-07-19,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-20,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-21,Vegetable,Lao (Bottle Gourd),1 piece,16.0,17.0,16.5,100 pieces,1325.0,1325.0,1325.0
2013-07-22,Vegetable,Lao (Bottle Gourd),1 piece,13.0,14.0,13.5,100 pieces,1067.0,1067.0,1067.0
2013-07-23,Vegetable,Lao (Bottle Gourd),1 piece,17.0,19.0,18.0,100 pieces,1400.0,1400.0,1400.0
2013-07-24,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1247.0,1247.0,1247.0
2013-07-25,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1140.0,1140.0,1140.0
2013-07-26,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-27,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-07-28,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1280.0,1280.0,1280.0
2013-07-29,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1267.0,1267.0,1267.0
2013-07-30,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1267.0,1267.0,1267.0
2013-07-31,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1240.0,1240.0,1240.0
2013-08-01,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1250.0,1250.0,1250.0
2013-08-02,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-03,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-04,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1243.0,1243.0,1243.0
2013-08-05,Vegetable,Lao (Bottle Gourd),1 piece,14.0,15.0,14.5,100 pieces,1157.0,1157.0,1157.0
2013-08-06,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-07,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1259.0,1259.0,1259.0
2013-08-08,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-09,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-10,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-11,Vegetable,Lao (Bottle Gourd),1 piece,15.0,16.0,15.5,100 pieces,1086.0,1086.0,1086.0
2013-08-12,Vegetable,Lao (Bottle Gourd),1 piece,15.0,16.0,15.5,100 pieces,1086.0,1086.0,1086.0
2013-08-13,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1157.0,1157.0,1157.0
2013-08-14,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1288.0,1288.0,1288.0
2013-08-15,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-16,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-17,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-18,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1286.0,1286.0,1286.0
2013-08-19,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1350.0,1350.0,1350.0
2013-08-20,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1286.0,1286.0,1286.0
2013-08-21,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1253.0,1253.0,1253.0
2013-08-22,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1229.0,1229.0,1229.0
2013-08-23,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-24,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-25,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1200.0,1200.0,1200.0
2013-08-26,Vegetable,Lao (Bottle Gourd),1 piece,14.0,15.0,14.5,100 pieces,1100.0,1100.0,1100.0
2013-08-27,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1171.0,1171.0,1171.0
2013-08-28,Vegetable,Lao (Bottle Gourd),1 piece,13.0,15.0,14.0,100 pieces,1167.0,1167.0,1167.0
2013-08-29,Vegetable,Lao (Bottle Gourd),1 piece,15.0,18.0,16.5,100 pieces,1258.0,1258.0,1258.0
2013-08-30,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-08-31,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-09-01,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1157.0,1157.0,1157.0
2013-09-02,Vegetable,Lao (Bottle Gourd),1 piece,16.0,18.0,17.0,100 pieces,1157.0,1157.0,1157.0
2013-09-03,Vegetable,Lao (Bottle Gourd),1 piece,14.0,16.0,15.0,100 pieces,1171.0,1171.0,1171.0
2013-09-04,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1270.0,1270.0,1270.0
2013-09-05,Vegetable,Lao (Bottle Gourd),1 piece,15.0,16.0,15.5,100 pieces,1200.0,1200.0,1200.0
2013-09-06,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-09-07,Vegetable,Lao (Bottle Gourd),1 piece,,,,100 pieces,,,
2013-09-08,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1257.0,1257.0,1257.0
2013-09-09,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1257.0,1257.0,1257.0
2013-09-10,Vegetable,Lao (Bottle Gourd),1 piece,15.0,17.0,16.0,100 pieces,1257.0,1257.0,1257.0
