,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-06-28,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-06-29,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-06-30,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-02,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-07-03,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-07-04,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-07-05,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-06,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-07-07,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-08,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-09,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,65000.0,65000.0,65000.0
2017-07-10,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-11,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-12,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-13,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-14,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-15,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-16,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-17,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-18,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-19,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-20,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-21,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-22,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-23,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-24,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-25,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-26,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-27,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-28,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-29,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-07-30,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-07-31,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-01,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-02,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-03,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-04,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-05,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-06,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-07,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-08,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-09,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-10,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-11,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-12,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-13,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-14,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-15,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-16,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-17,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-18,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-19,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-20,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-21,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-22,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-23,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-24,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-25,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-26,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-08-27,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-28,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-29,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-30,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-08-31,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-09-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-03,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-04,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-09-05,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-09-06,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-09-07,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,65000.0,65000.0,65000.0
2017-09-08,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-09,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-10,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-11,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-12,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-13,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-14,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-15,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-16,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-17,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-18,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-19,Meat,Mutton,Kilogram,520.0,550.0,535.0,Quintal,,,
2017-09-20,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-21,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-22,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-23,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-24,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-25,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-26,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-27,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-28,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-09-29,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-09-30,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-02,Meat,Mutton,Kilogram,585.0,625.0,605.0,Quintal,,,
2017-10-03,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-04,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-05,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-06,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-07,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-08,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-09,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-10,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-11,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-12,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-13,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-14,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-15,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-16,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-17,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-18,Meat,Mutton,Kilogram,500.0,520.0,510.0,Quintal,,,
2017-10-19,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-20,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-21,Meat,Mutton,Kilogram,650.0,700.0,675.0,Quintal,,,
2017-10-22,Meat,Mutton,Kilogram,500.0,520.0,510.0,Quintal,,,
2017-10-23,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-24,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-25,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-26,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-27,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-28,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-10-29,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-30,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-10-31,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-01,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-02,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-03,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-04,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-05,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-06,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-07,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-08,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-09,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-10,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-11,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-12,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-13,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-14,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-15,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-16,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-17,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-18,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-19,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-20,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-21,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-22,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-23,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-24,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-25,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-11-26,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-27,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-28,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-29,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-11-30,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-03,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-04,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-05,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-06,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-07,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-08,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-09,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-10,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-11,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-12,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-13,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-14,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-15,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-16,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-17,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-18,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-19,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-20,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-21,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-22,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-23,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-24,Meat,Mutton,Kilogram,500.0,520.0,510.0,Quintal,,,
2017-12-25,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-26,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-27,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-28,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2017-12-29,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-30,Meat,Mutton,Kilogram,,,,Quintal,,,
2017-12-31,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-01,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-02,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-03,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-04,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-05,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-06,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-07,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-08,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-09,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-10,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-11,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-12,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-13,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-14,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-15,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-16,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-17,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-18,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-19,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-20,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-21,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-22,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-23,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-24,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-25,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-26,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-27,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-01-28,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-29,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-30,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-01-31,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-01,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-03,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-04,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-05,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-06,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-07,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-08,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-09,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-10,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-11,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-12,Meat,Mutton,Kilogram,575.0,610.0,592.5,Quintal,,,
2018-02-13,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-02-14,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-02-15,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-16,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-17,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-18,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-19,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-20,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-21,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-22,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-23,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-24,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-02-25,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-26,Meat,Mutton,Kilogram,550.0,590.0,570.0,Quintal,,,
2018-02-27,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-02-28,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-01,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-03,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-04,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-05,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-06,Meat,Mutton,Kilogram,440.0,460.0,450.0,Quintal,,,
2018-03-07,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-08,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-09,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-10,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-11,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-12,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-13,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-14,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-15,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-16,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-17,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-18,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-19,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-20,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-21,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-22,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-23,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-24,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-25,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-26,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-27,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-28,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-29,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-03-30,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-03-31,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-01,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-04-02,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-04-03,Meat,Mutton,Kilogram,545.0,580.0,562.5,Quintal,,,
2018-04-04,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-05,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-06,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-07,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-08,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-09,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-10,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-11,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-12,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-13,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-14,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-15,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-16,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-17,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-18,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-19,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-20,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-21,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-22,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-23,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-24,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-25,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-26,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-04-27,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-28,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-29,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-04-30,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-03,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-04,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-05,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-06,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-07,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-08,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-09,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-10,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-11,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-12,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-13,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-14,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-15,Meat,Mutton,Kilogram,550.0,600.0,575.0,Quintal,,,
2018-05-16,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-17,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-18,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-19,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-20,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-21,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-22,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-23,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-24,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-25,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-26,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-05-27,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-28,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-29,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-30,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-05-31,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
2018-06-01,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-06-02,Meat,Mutton,Kilogram,,,,Quintal,,,
2018-06-03,Meat,Mutton,Kilogram,535.0,590.0,562.5,Quintal,,,
